raw_string,canonical_name
3 M,3M
3G METALWORX,3GMETALWORX INC
3G SHIELDING SPECIALTIES,3G SHIELDING SPECIALTIES LP
3L ELECTRONIC CORP.,3L ELECTRONIC CORP
3L ELECTRONIC GROUP,3L ELECTRONIC CORP
3M,3M
3PEAK,3PEAK INCORPORATED
A-BRIGHT,"A-BRIGHT INDUSTRIAL CO., LTD."
AAC,AMERICAN ACCURATE COMPONENTS
AAVID,AAVID THERMALLOY
AAVID (BOYD),AAVID THERMALLOY
AAVID THERMALLOY,AAVID THERMALLOY
"AAVID THERMALLOY, LLC",AAVID THERMALLOY
ABC,ABC TAIWAN ELECTRONICS CORP
ABC CORP,ABC TAIWAN ELECTRONICS CORP
ABC ELECTRONICS,ABC TAIWAN ELECTRONICS CORP
ABC TAIWAN,ABC TAIWAN ELECTRONICS CORP
ABC TAIWAN ELECTRIC,ABC TAIWAN ELECTRONICS CORP
ABC TAIWAN ELECTRONIC,ABC TAIWAN ELECTRONICS CORP
ABC TAIWAN ELECTRONIC CORP,ABC TAIWAN ELECTRONICS CORP
ABLIC,ABLIC INC
ABRACON,"ABRACON, LLC"
ABRACON CORP,"ABRACON, LLC"
ABRACON CORPORATION,"ABRACON, LLC"
ABRACON LLC,"ABRACON, LLC"
ABRACON LLC.,"ABRACON, LLC"
ACCELERATED / DIGI INTERNATIONAL,DIGI INTERNATIONAL INC
ACCELERATED CONCEPTS,DIGI INTERNATIONAL INC
"ACCELERATED CONCEPTS, INC",DIGI INTERNATIONAL INC
ACCELERATED MEMORY,"ACCELERATED MEMORY PRODUCTION, INC."
"ACCELERATED MEMORY PRODUCTION, INC.","ACCELERATED MEMORY PRODUCTION, INC."
ACCONEER,ACCONEER AB
ACCONEER AB,ACCONEER AB
ACCU LTD,ACCU LIMITED
ACTIVE-SEMI / QORVO,"QORVO, INC"
ACTIVE-SEMI INTERNATIONAL,"QORVO, INC"
ADAM TECH,ADAM TECH
ADAMTECH,ADAM TECH
ADESTO,RENESAS ELECTRONICS CORPORATION
ADESTO / DIALOG SEMICONDUCTOR,RENESAS ELECTRONICS CORPORATION
ADESTO TECHNOLOGIES,RENESAS ELECTRONICS CORPORATION
ADI,"ANALOG DEVICES, INC"
ADI (ANALOG DEVICES INC.),"ANALOG DEVICES, INC"
"ADI (ANALOG DEVICES, INC.)","ANALOG DEVICES, INC"
ADVANCED LINEAR DEVICES,"ADVANCED LINEAR DEVICES, INC"
"ADVANCED LINEAR DEVICES, INC.","ADVANCED LINEAR DEVICES, INC"
AGILENT,BROADCOM INC
AGILENT AVAGO,BROADCOM INC
AGILENT TECHNOLOGIES,BROADCOM INC
AGILENT/AVAGO/BROADCOM,BROADCOM INC
AIMTEC,AIMTEC
AIRPAX,"SENSATA TECHNOLOGIES, INC"
AIRPAX / SENSATA,"SENSATA TECHNOLOGIES, INC"
AIRPAX / SENSATA TECHNOLOGIES,"SENSATA TECHNOLOGIES, INC"
ALCOSWITCH / TE CONNECTIVITY,TE CONNECTIVITY
ALCOSWITCH SWITCHES / TE CONNECTIVITY,TE CONNECTIVITY
ALCOSWITCH/TYCO,TE CONNECTIVITY
ALLEGRO,"ALLEGRO MICROSYSTEMS, INC"
ALLEGRO MICROSYSTEMS,"ALLEGRO MICROSYSTEMS, INC"
ALLEGRO MICROSYSTEMS INC,"ALLEGRO MICROSYSTEMS, INC"
"ALLEGRO MICROSYSTEMS, LLC","ALLEGRO MICROSYSTEMS, INC"
ALLIANCE MEMORY,ALLIANCE MEMORY
"ALLIANCE MEMORY, INC.",ALLIANCE MEMORY
ALPHA & OMEGA,ALPHA AND OMEGA SEMICONDUCTOR
ALPHA & OMEGA SEMICONDUCTOR,ALPHA AND OMEGA SEMICONDUCTOR
ALPHA AND OMEGA SEMICONDUCTOR,ALPHA AND OMEGA SEMICONDUCTOR
"ALPHA AND OMEGA SEMICONDUCTOR, INC.",ALPHA AND OMEGA SEMICONDUCTOR
ALPHA OMEGA,ALPHA AND OMEGA SEMICONDUCTOR
ALPS,"ALPS ALPINE CO., LTD"
ALPS ALPINE,"ALPS ALPINE CO., LTD"
ALPS ELECTRIC,"ALPS ALPINE CO., LTD"
ALTERA,INTEL TECHNOLOGIES
ALTERA (INTEL),INTEL TECHNOLOGIES
ALTERA / INTEL,INTEL TECHNOLOGIES
ALTERA CORP,INTEL TECHNOLOGIES
AMD,"ADVANCED MICRO DEVICES, INC"
AMERICAN TECHNICAL CERAMICS (ATC) / KYOCERA AVX,KYOCERA AVX COMPONENTS CORPORATION
AMP / TE CONNECTIVITY,TE CONNECTIVITY
AMP CONNECTORS / TE CONNECTIVITY,TE CONNECTIVITY
AMP CONNECTORS/TE CONNECTIVITY,TE CONNECTIVITY
AMP-TYCO,TE CONNECTIVITY
AMP/TYCO,TE CONNECTIVITY
AMPHENOL,AMPHENOL CORPORATION
AMPHENOL ADV SENSOR,AMPHENOL CORPORATION
AMPHENOL ADVANCED SENSORS,AMPHENOL CORPORATION
AMPHENOL AEROSPACE OPERATIONS,AMPHENOL CORPORATION
AMPHENOL AIR LB,AMPHENOL CORPORATION
AMPHENOL ALL SENSORS,AMPHENOL CORPORATION
AMPHENOL ANYTEK,AMPHENOL CORPORATION
AMPHENOL AORORA,AMPHENOL CORPORATION
AMPHENOL AUDIO,AMPHENOL CORPORATION
AMPHENOL CABLES ON DEMAND,AMPHENOL CORPORATION
AMPHENOL COMMERCIAL IO,AMPHENOL CORPORATION
AMPHENOL COMMERCIAL PRODUCTS,AMPHENOL CORPORATION
AMPHENOL COMMUNICATIONS SOLUTIONS,AMPHENOL CORPORATION
AMPHENOL CONNEX (AMPHENOL RF),AMPHENOL CORPORATION
AMPHENOL ENTERTAINMENT,AMPHENOL CORPORATION
AMPHENOL FCI,AMPHENOL CORPORATION
AMPHENOL FCI BASICS,AMPHENOL CORPORATION
AMPHENOL FIBER SYSTEMS INTERNATIONAL,AMPHENOL CORPORATION
AMPHENOL HIGH SPEED BACKPLANE PRODUCTS,AMPHENOL CORPORATION
AMPHENOL HIGH SPEED IO,AMPHENOL CORPORATION
AMPHENOL ICC,AMPHENOL CORPORATION
AMPHENOL ICC (AMPHENOL COMMUNICATIONS SOLUTIONS),AMPHENOL CORPORATION
AMPHENOL ICC (FCI),AMPHENOL CORPORATION
AMPHENOL INDUSTRIAL,AMPHENOL CORPORATION
AMPHENOL INTERCON SYSTEMS,AMPHENOL CORPORATION
AMPHENOL LIMITED,AMPHENOL CORPORATION
AMPHENOL LTD,AMPHENOL CORPORATION
AMPHENOL LTW,AMPHENOL CORPORATION
AMPHENOL MCP,AMPHENOL CORPORATION
AMPHENOL MEZZANINE PRODUCTS,AMPHENOL CORPORATION
AMPHENOL NEXUS TECHNOLOGIES,AMPHENOL CORPORATION
AMPHENOL NOVASENSOR,AMPHENOL CORPORATION
AMPHENOL ONANON,AMPHENOL CORPORATION
AMPHENOL PCD,AMPHENOL CORPORATION
AMPHENOL PIHER SENSING SYSTEMS,AMPHENOL CORPORATION
AMPHENOL POSITRONIC,AMPHENOL CORPORATION
AMPHENOL POWER SOLUTIONS,AMPHENOL CORPORATION
AMPHENOL RF,AMPHENOL CORPORATION
AMPHENOL SGX SENSORTECH,AMPHENOL CORPORATION
AMPHENOL SINE SYSTEMS,AMPHENOL CORPORATION
AMPHENOL SOCAPEX,AMPHENOL CORPORATION
AMPHENOL SSI TECHNOLOGIES,AMPHENOL CORPORATION
AMPHENOL STORAGE & SERVER IO,AMPHENOL CORPORATION
AMPHENOL SV MICROWAVE,AMPHENOL CORPORATION
AMPHENOL TELAIRE,AMPHENOL CORPORATION
AMPHENOL THE MODAL SHOP,AMPHENOL CORPORATION
AMPHENOL THERMOMETRICS,AMPHENOL CORPORATION
AMPHENOL TIMES MICROWAVE SYSTEMS,AMPHENOL CORPORATION
AMPHENOL TUCHEL ELECTRONICS,AMPHENOL CORPORATION
AMPHENOL WILCOXON SENSING TECHNOLOGIES,AMPHENOL CORPORATION
ANALOG,"ANALOG DEVICES, INC"
ANALOG DEVICE,"ANALOG DEVICES, INC"
ANALOG DEVICE / LINEAR TECH,"ANALOG DEVICES, INC"
ANALOG DEVICES,"ANALOG DEVICES, INC"
ANALOG DEVICES / MAXIM INTEGRATED,"ANALOG DEVICES, INC"
ANALOG DEVICES /LTC,"ANALOG DEVICES, INC"
ANALOG DEVICES INC,"ANALOG DEVICES, INC"
ANALOG DEVICES INC.,"ANALOG DEVICES, INC"
"ANALOG DEVICES, INC.","ANALOG DEVICES, INC"
ANALOG TECHNOLOGIES,"ANALOG DEVICES, INC"
ANALOGE DEVICES,"ANALOG DEVICES, INC"
ANALOGUE DEVICES/MAXIM,"ANALOG DEVICES, INC"
ANYTEK (AMPHENOL ANYTEK),AMPHENOL CORPORATION
ANYTEK / AMPHENOL,AMPHENOL CORPORATION
AORORA (AMPHENOL COMMUNICATIONS SOLUTIONS),AMPHENOL CORPORATION
AORORA / AMPHENOL,AMPHENOL CORPORATION
ARCOL (OHMITE),OHMITE HOLDING LLC
ARCOL / OHMITE,OHMITE HOLDING LLC
ARCOL UK LTD,OHMITE HOLDING LLC
ARCOTRONIC/KEMET,KEMET CORPORATION
ARCOTRONICS,KEMET CORPORATION
ARCOTRONICS (KEMET),KEMET CORPORATION
ARCOTRONICS / KEMET,KEMET CORPORATION
ATC / KYOCERA AVX,KYOCERA AVX COMPONENTS CORPORATION
ATMEL,MICROCHIP TECHNOLOGY INC
ATMEL (MICROCHIP TECHNOLOGY),MICROCHIP TECHNOLOGY INC
ATMEL / MICROCHIP,MICROCHIP TECHNOLOGY INC
ATMEL CORPORATION,MICROCHIP TECHNOLOGY INC
AVAGO,BROADCOM INC
AVAGO (SIEMENS RAIL),BROADCOM INC
AVAGO TECHNOLOGIES,BROADCOM INC
AVAGO TECHNOLOGIES (BROADCOM),BROADCOM INC
AVAGO TECHNOLOGIES US INC.,BROADCOM INC
AVAGO TECHNOLOGY,BROADCOM INC
AVX,KYOCERA AVX COMPONENTS CORPORATION
AVX  CORPORATION,KYOCERA AVX COMPONENTS CORPORATION
AVX (KYOCERA AVX),KYOCERA AVX COMPONENTS CORPORATION
AVX / KYOCERA,KYOCERA AVX COMPONENTS CORPORATION
AVX CORP,KYOCERA AVX COMPONENTS CORPORATION
AVX CORP/KYOCERA,KYOCERA AVX COMPONENTS CORPORATION
AVX CORP/KYOCERA CORP,KYOCERA AVX COMPONENTS CORPORATION
AVX CORPORATION,KYOCERA AVX COMPONENTS CORPORATION
AVX KYOCERA,KYOCERA AVX COMPONENTS CORPORATION
AVX TANTALUM CORP,KYOCERA AVX COMPONENTS CORPORATION
AVX/KYOCERA,KYOCERA AVX COMPONENTS CORPORATION
AXICOM / TE CONNECTIVITY,TE CONNECTIVITY
AXICOM RELAYS / TE CONNECTIVITY,TE CONNECTIVITY
BEAU INTERCONNECT - MOLEX,"MOLEX, LLC"
BI TECHNOLOGIES / TT ELECTRONICS,TT ELECTRONICS
BITTWARE - MOLEX,"MOLEX, LLC"
BITTWARE / MOLEX,"MOLEX, LLC"
BLUEGIGA / SILICON LABS,SILICON LABORATORIES
BOURNS,"BOURNS, INC"
BOURNS  INC,"BOURNS, INC"
BOURNS INC,"BOURNS, INC"
BOURNS INC.,"BOURNS, INC"
"BOURNS, INC.","BOURNS, INC"
BRAD HARRISON - MOLEX,"MOLEX, LLC"
BROADCOM,BROADCOM INC
BROADCOM / AVAGO,BROADCOM INC
BROADCOM LIMITED,BROADCOM INC
BROADCOM LTD,BROADCOM INC
BROADCOM/AVAGO,BROADCOM INC
BUCHANAN / TE CONNECTIVITY,TE CONNECTIVITY
BUCHANAN TERMINAL BLOCKS / TE CONNECTIVITY,TE CONNECTIVITY
BURR-BROWN (TEXAS INSTRUMENTS),TEXAS INSTRUMENTS INCORPORATED
C&D TECHNOLOGIES (MURATA POWER SOLUTIONS),MURATA POWER SOLUTIONS
CABLES ON DEMAND (AMPHENOL CABLES ON DEMAND),AMPHENOL CORPORATION
CABLES ON DEMAND / AMPHENOL,AMPHENOL CORPORATION
CANADA MIL/AERO / AMPHENOL,AMPHENOL CORPORATION
CASCO / AMPHENOL,AMPHENOL CORPORATION
CATALYST,ONSEMI
CATALYST / ON SEMICONDUCTOR,ONSEMI
CATALYST SEMICONDUCTOR,ONSEMI
CATALYST SEMICONDUCTOR INC,ONSEMI
CATALYST SEMICONDUCTOR/ONSEMI,ONSEMI
CGS RESISTORS / TE CONNECTIVITY,TE CONNECTIVITY
CICLON SEMICONDUCTOR,TEXAS INSTRUMENTS INCORPORATED
CII / TE CONNECTIVITY,TE CONNECTIVITY
CIRRONET / RFM (MURATA POWER SOLUTIONS),MURATA POWER SOLUTIONS
CITEC / TE CONNECTIVITY,TE CONNECTIVITY
CMD (ON SEMICONDUCTOR),ONSEMI
COILCRAFT,COILCRAFT INC
COILCRAFT EUROPE LTD.,COILCRAFT INC
COILCRAFT SINGAPORE PTE LTD,COILCRAFT INC
COILCRAFT TAIWAN INC (USD),COILCRAFT INC
"COILCRAFT, INC",COILCRAFT INC
"COILCRAFT, INC.",COILCRAFT INC
COMMERCIAL IO (AMPHENOL COMMUNICATIONS SOLUTIONS),AMPHENOL CORPORATION
CONNEX (AMPHENOL RF),AMPHENOL CORPORATION
CONTRINEX - MOLEX,"MOLEX, LLC"
CORCOM / TE CONNECTIVITY,TE CONNECTIVITY
CORCOM FILTERS / TE CONNECTIVITY,TE CONNECTIVITY
CYPRESS,INFINEON TECHNOLOGIES AG
CYPRESS / INFINEON,INFINEON TECHNOLOGIES AG
CYPRESS INDUSTRIES,INFINEON TECHNOLOGIES AG
CYPRESS SEMI,INFINEON TECHNOLOGIES AG
CYPRESS SEMICON,INFINEON TECHNOLOGIES AG
CYPRESS SEMICONDUCTOR,INFINEON TECHNOLOGIES AG
CYPRESS SEMICONDUCTOR (INFINEON TECHNOLOGIES),INFINEON TECHNOLOGIES AG
CYPRESS SEMICONDUCTOR CORP,INFINEON TECHNOLOGIES AG
DALLAS/MAXIM,"ANALOG DEVICES, INC"
DEUTSCH CONNECTORS / TE CONNECTIVITY,TE CONNECTIVITY
DEUTSCH ICT / TE CONNECTIVITY,TE CONNECTIVITY
DIODES,DIODES INCORPORATED
DIODES / ZETEX,DIODES INCORPORATED
DIODES CORP,DIODES INCORPORATED
DIODES INC,DIODES INCORPORATED
DIODES INC.,DIODES INCORPORATED
DIODES INCORP,DIODES INCORPORATED
DIODES INCORPORATED,DIODES INCORPORATED
DIODES INCS,DIODES INCORPORATED
DIODES SEMI,DIODES INCORPORATED
DIODEZETEX,DIODES INCORPORATED
ECLIPTEK,"ABRACON, LLC"
ECLIPTEK / ABRACON,"ABRACON, LLC"
ELCO (AVX),KYOCERA AVX COMPONENTS CORPORATION
ELCON CONNECTORS / TE CONNECTIVITY,TE CONNECTIVITY
ENERGY MICRO (SILICON LABS),SILICON LABORATORIES
ENTRELEC / TE CONNECTIVITY,TE CONNECTIVITY
EPCOS,TDK CORPORATION
EPCOS (TDK),TDK CORPORATION
EPCOS / TDK,TDK CORPORATION
EPCOS INC,TDK CORPORATION
EPCOS PTE LTD,TDK CORPORATION
EPCOS TDK,TDK CORPORATION
EPCOS-TDK,TDK CORPORATION
ERNI / TE CONNECTIVITY,TE CONNECTIVITY
ETHERTRONICS,KYOCERA AVX COMPONENTS CORPORATION
ETHERTRONICS / KYOCERA AVX,KYOCERA AVX COMPONENTS CORPORATION
EUPEC (INFINEON),INFINEON TECHNOLOGIES AG
EUPEC / INFINEON,INFINEON TECHNOLOGIES AG
EVOX RIFA,KEMET CORPORATION
EVOX RIFA / KEMET,KEMET CORPORATION
EVOX-RIFA/KEMET,KEMET CORPORATION
EXAR (MAXLINEAR),MAXLINEAR
EXAR / MAXLINEAR,MAXLINEAR
FAIRCHILD,ONSEMI
FAIRCHILD (EX QT OPTO),ONSEMI
FAIRCHILD (FSC),ONSEMI
FAIRCHILD (ON SEMI),ONSEMI
FAIRCHILD (ONSEMI),ONSEMI
FAIRCHILD / ONSEMI,ONSEMI
FAIRCHILD LTD,ONSEMI
FAIRCHILD SEMI,ONSEMI
FAIRCHILD SEMICONDUCTOR,ONSEMI
FAIRCHILD SEMICONDUCTOR CORP,ONSEMI
FAIRCHILD SEMICONDUCTORS,ONSEMI
FAIRCHILD SEMICONDUCTORS LTD,ONSEMI
FAIRCHILD/ON SEMI,ONSEMI
FCI / AMPHENOL,AMPHENOL CORPORATION
FCI BASICS (AMPHENOL COMMUNICATIONS SOLUTIONS),AMPHENOL CORPORATION
FCT / MOLEX,"MOLEX, LLC"
FCT ELECTRONICS - MOLEX,"MOLEX, LLC"
FIBER SYSTEMS INTERNATIONAL / AMPHENOL,AMPHENOL CORPORATION
FIT (FOXCONN INTERCONNECT TECHNOLOGY),FOXCONN INTERCONNECT TECHNOLOGY
FLAMAR - MOLEX,"MOLEX, LLC"
FLAMAR / MOLEX,"MOLEX, LLC"
FOX,"ABRACON, LLC"
FOX / ABRACON,"ABRACON, LLC"
FOX ELECTRONICS,"ABRACON, LLC"
FREESCALE / NXP,NXP SEMICONDUCTORS
FREESCALE / NXP SEMICONDUCTORS,NXP SEMICONDUCTORS
"FREESCALE SEMICONDUCTOR, INC. (NXP SEMICONDUCTORS)",NXP SEMICONDUCTORS
FSI / AMPHENOL,AMPHENOL CORPORATION
GEC / AMPHENOL,AMPHENOL CORPORATION
GWCONNECT - MOLEX,"MOLEX, LLC"
GWCONNECT / MOLEX,"MOLEX, LLC"
HARWIN,HARWIN
HARWIN INC.,HARWIN
HARWIN PLC,HARWIN
HEWLETT PACKARD,BROADCOM INC
HEWLETT PACKARD/AGILENT/AVAGO,BROADCOM INC
HEWLETT-PACKARD,BROADCOM INC
HIGH SPEED BACKPLANE PRODUCTS (AMPHENOL COMMUNICATIONS SOLUTIONS),AMPHENOL CORPORATION
HIGH SPEED IO (AMPHENOL COMMUNICATIONS SOLUTIONS),AMPHENOL CORPORATION
HIROSE,"HIROSE ELECTRIC CO., LTD"
HIROSE ELEC,"HIROSE ELECTRIC CO., LTD"
HIROSE ELECTRIC,"HIROSE ELECTRIC CO., LTD"
HIROSE ELECTRIC / HRS,"HIROSE ELECTRIC CO., LTD"
HIROSE ELECTRIC CO JAPAN,"HIROSE ELECTRIC CO., LTD"
HIROSE ELECTRIC CO LTD,"HIROSE ELECTRIC CO., LTD"
HIROSE ELECTRIC CO.,"HIROSE ELECTRIC CO., LTD"
HIRSCHMANN MOBILITY / TE CONNECTIVITY,TE CONNECTIVITY
HITTITE (ANALOG DEVICES),"ANALOG DEVICES, INC"
HITTITE / ANALOG DEVICES,"ANALOG DEVICES, INC"
HOLSWORTHY / TE CONNECTIVITY,TE CONNECTIVITY
HOLSWORTHY RESISTORS / TE CONNECTIVITY,TE CONNECTIVITY
I2S / AMPHENOL,AMPHENOL CORPORATION
ICC,AMPHENOL CORPORATION
INFINEON,INFINEON TECHNOLOGIES AG
INFINEON ADMTEK,INFINEON TECHNOLOGIES AG
INFINEON TECHNOLOGIES,INFINEON TECHNOLOGIES AG
INFINEON TECHNOLOGIES AG,INFINEON TECHNOLOGIES AG
"INNOVASIC SEMICONDUCTOR / ANALOG DEVICES, INC.","ANALOG DEVICES, INC"
INTERCON SYSTEMS (AMPHENOL COMMUNICATIONS SOLUTIONS),AMPHENOL CORPORATION
INTERCON SYSTEMS / AMPHENOL,AMPHENOL CORPORATION
INTERCONNECT SYSTEMS - MOLEX,"MOLEX, LLC"
INTERCONTEC / TE CONNECTIVITY,TE CONNECTIVITY
INTERNATIONAL RECTIFIER,INFINEON TECHNOLOGIES AG
INTERNATIONAL RECTIFIER (INFINEON TECHNOLOGIES),INFINEON TECHNOLOGIES AG
INTERNATIONAL RECTIFIER (IR),INFINEON TECHNOLOGIES AG
INTERNATIONAL RECTIFIER / INFINEON,INFINEON TECHNOLOGIES AG
INTERNATIONAL RECTIFIER(IR),INFINEON TECHNOLOGIES AG
INVENSENSE / TDK,TDK INVENSENSE
INVENSENSE/TDK,TDK INVENSENSE
IONISSIMO / MURATA,MURATA ELECTRONICS
IR (INFINEON TECHNOLOGIES),INFINEON TECHNOLOGIES AG
IRC / TT ELECTRONICS,TT ELECTRONICS
ISI / MOLEX,"MOLEX, LLC"
J.W. MILLER / BOURNS,"BOURNS, INC"
JW MILLER,"BOURNS, INC"
JW MILLER / BOURNS,"BOURNS, INC"
KEMET,KEMET CORPORATION
KEMET ELECTRONICS,KEMET CORPORATION
KEMET ELECTRONICS CORP,KEMET CORPORATION
KEMET ELETRONICS,KEMET CORPORATION
KEMTRON / TE CONNECTIVITY,TE CONNECTIVITY
KILOVAC / TE CONNECTIVITY,TE CONNECTIVITY
KILOVAC RELAYS / TE CONNECTIVITY,TE CONNECTIVITY
KINGBRIGHT,"KINGBRIGHT ELECTRONIC CO, LTD"
KINGBRIGHT CORP,"KINGBRIGHT ELECTRONIC CO, LTD"
KINGBRIGHT ELECTRONIC CO LTD,"KINGBRIGHT ELECTRONIC CO, LTD"
KINGBRIGHT USA CORP,"KINGBRIGHT ELECTRONIC CO, LTD"
KISSLING / TE CONNECTIVITY,TE CONNECTIVITY
KOA,"KOA SPEER ELECTRONICS, INC."
KOA CORP,"KOA SPEER ELECTRONICS, INC."
KOA SPEER,"KOA SPEER ELECTRONICS, INC."
KOA SPEER ELECTRONICS,"KOA SPEER ELECTRONICS, INC."
KOA SPEER ELECTRONICS INC,"KOA SPEER ELECTRONICS, INC."
"KOA SPEER ELECTRONICS, INC","KOA SPEER ELECTRONICS, INC."
"KOA SPEER ELECTRONICS, INC.","KOA SPEER ELECTRONICS, INC."
KOASPEER,"KOA SPEER ELECTRONICS, INC."
KYOCERA,KYOCERA AVX COMPONENTS CORPORATION
KYOCERA / AVX,KYOCERA AVX COMPONENTS CORPORATION
KYOCERA AVX,KYOCERA AVX COMPONENTS CORPORATION
KYOCERA CORPORATION,KYOCERA AVX COMPONENTS CORPORATION
KYOCERA DISPLAY,KYOCERA DISPLAY
"KYOCERA INTERNATIONAL, INC.",KYOCERA AVX COMPONENTS CORPORATION
LAIRD EXTERNAL ANTENNAS / TE CONNECTIVITY,TE CONNECTIVITY
LAMBDA POWER / TDK,TDK-LAMBDA CORPORATION
LIMITED (AMPHENOL PCD),AMPHENOL CORPORATION
LINEAR,"ANALOG DEVICES, INC"
LINEAR / ANALOG DEVICES,"ANALOG DEVICES, INC"
LINEAR TEC,"ANALOG DEVICES, INC"
LINEAR TECH,"ANALOG DEVICES, INC"
LINEAR TECH/ANALOG DEVICES,"ANALOG DEVICES, INC"
"LINEAR TECHNOLOGY (ANALOG DEVICES, INC.)","ANALOG DEVICES, INC"
LINEAR TECHNOLOGY / ANALOG DEVICES,"ANALOG DEVICES, INC"
LTD / AMPHENOL,AMPHENOL CORPORATION
LTW (AMPHENOL LTW),AMPHENOL CORPORATION
LTW / AMPHENOL,AMPHENOL CORPORATION
LUMINARY MICRO/TEXAS INSTRUMENTS,TEXAS INSTRUMENTS INCORPORATED
MADISON CABLE / TE CONNECTIVITY,TE CONNECTIVITY
MATSUSHITA / PANASONIC,PANASONIC
MATSUSHITA/PANASONIC,PANASONIC
MAXIM,"ANALOG DEVICES, INC"
MAXIM DALLAS,"ANALOG DEVICES, INC"
MAXIM IC,"ANALOG DEVICES, INC"
MAXIM INT,"ANALOG DEVICES, INC"
MAXIM INTEGRATE,"ANALOG DEVICES, INC"
MAXIM INTEGRATED,"ANALOG DEVICES, INC"
MAXIM INTEGRATED / ANALOG DEVICES,"ANALOG DEVICES, INC"
MAXIM INTEGRATED PRODUCTS,"ANALOG DEVICES, INC"
MAXIM INTEGRATED PRODUCTS INC,"ANALOG DEVICES, INC"
MAXIM INTERGRATED,"ANALOG DEVICES, INC"
MAXIM INTERGRATED PRODUCTS,"ANALOG DEVICES, INC"
MAXIM-DALLAS,"ANALOG DEVICES, INC"
MAXIM/DALLAS,"ANALOG DEVICES, INC"
MAXLINEAR,MAXLINEAR
"MAXLINEAR, INC.",MAXLINEAR
MAXWELL TECHNOLOGIES,MAXWELL TECHNOLOGIES
MAXWELL TECHNOLOGIES INC,MAXWELL TECHNOLOGIES
MCC (MICRO COMMERCIAL COMPONENTS),MICRO COMMERCIAL COMPONENTS CORP
MCC SEMI,MICRO COMMERCIAL COMPONENTS CORP
MCMASTER,MCMASTER-CARR
MCMASTER (PENCON),MCMASTER-CARR
MCMASTER-CARR,MCMASTER-CARR
MCP / AMPHENOL,AMPHENOL CORPORATION
MEASUREMENT SPECIALTIES / TE CONNECTIVITY,TE CONNECTIVITY
MEC MARCOM,MEC MARCOM
MEC SWITCHES,APEM GROUP
MEGGITT/TYCO,TE CONNECTIVITY
MEZZANINE PRODUCTS (AMPHENOL COMMUNICATIONS SOLUTIONS),AMPHENOL CORPORATION
MICREL,MICROCHIP TECHNOLOGY INC
MICREL / MICROCHIP,MICROCHIP TECHNOLOGY INC
MICREL / MICROCHIP TECHNOLOGY,MICROCHIP TECHNOLOGY INC
MICREL INC,MICROCHIP TECHNOLOGY INC
MICREL KENDIN,MICROCHIP TECHNOLOGY INC
MICREL SEMI,MICROCHIP TECHNOLOGY INC
MICREL SEMICONDUCTOR,MICROCHIP TECHNOLOGY INC
MICREL SEMICONDUCTORS,MICROCHIP TECHNOLOGY INC
MICRO COMMERCIAL,MICRO COMMERCIAL COMPONENTS CORP
MICRO COMMERCIAL CO,MICRO COMMERCIAL COMPONENTS CORP
MICRO COMMERCIAL COMP,MICRO COMMERCIAL COMPONENTS CORP
MICRO COMMERCIAL COMPONENTS,MICRO COMMERCIAL COMPONENTS CORP
MICRO COMMERCIAL COMPONENTS (MCC),MICRO COMMERCIAL COMPONENTS CORP
MICRO COMMERICAL,MICRO COMMERCIAL COMPONENTS CORP
MICRO COMMERICAL CO,MICRO COMMERCIAL COMPONENTS CORP
MICRO COMMERICAL COMPONENTS,MICRO COMMERCIAL COMPONENTS CORP
MICRO CRYSTAL,MICRO CRYSTAL AG
MICRO CYSTAL,MICRO CRYSTAL AG
MICRO PLASTICS INC,MICRO CRYSTAL AG
MICROCHIP,MICROCHIP TECHNOLOGY INC
MICROCHIP TECH,MICROCHIP TECHNOLOGY INC
MICROCHIP TECHNOLOGIES,MICROCHIP TECHNOLOGY INC
MICROCHIP TECHNOLOGY,MICROCHIP TECHNOLOGY INC
MICROCHIP TECHNOLOGY INC,MICROCHIP TECHNOLOGY INC
MICRON,"MICRON TECHNOLOGY, INC"
MICRON TECH,"MICRON TECHNOLOGY, INC"
MICRON TECHNOLOGY,"MICRON TECHNOLOGY, INC"
MICRON TECHNOLOGY INC,"MICRON TECHNOLOGY, INC"
MICRON TECHNOLOGY INC.,"MICRON TECHNOLOGY, INC"
"MICRON TECHNOLOGY, INC.","MICRON TECHNOLOGY, INC"
MICRONAS / TDK,TDK CORPORATION
MICROSEMI,MICROCHIP TECHNOLOGY INC
MICROSEMI (ACTEL),MICROCHIP TECHNOLOGY INC
MICROSEMI / MICROCHIP,MICROCHIP TECHNOLOGY INC
MICROSEMI SOC,MICROCHIP TECHNOLOGY INC
MICROSEMI/VITESSE,MICROCHIP TECHNOLOGY INC
MIDCOM,"WURTH ELECTRONICS MIDCOM, INC."
MIDCOM / W�RTH ELEKTRONIK,"WURTH ELECTRONICS MIDCOM, INC."
MILL MAX,MILL-MAX MFG. CORP
MILL-MAX,MILL-MAX MFG. CORP
MILL-MAX MANUFACTURING CORP,MILL-MAX MFG. CORP
MILL-MAX MANUFACTURING CORP.,MILL-MAX MFG. CORP
MILLMAX,MILL-MAX MFG. CORP
MINI CIRCUITS,MINI-CIRCUITS
MINI-CIRCUITS,MINI-CIRCUITS
MINI-CIRCUITS LAB,MINI-CIRCUITS
MINICIRCUITS,MINI-CIRCUITS
MOLEX,"MOLEX, LLC"
