,,,Setup,Labour,Grand Total (Minutes),(Hrs),,,,,,,,,,,,,,,
,SETUP PER PCB,( S1+S2+S3)/BATCH SIZE,2.613001333333333,,261.3001333333333,,,,,,,,,,,,,,,,
x,,,,,,,,,,,,,,,,,,,,,
x,,,,,,,,,,,,,,,,,,,,,
,No. SMT PLACEMENTS,F,,,56,,,,,,,,,,,,,,,,
,No. LARGE SMT COMP. T/S,G,,,1,,,,,,,,,,,,,,,,
,No. LARGE SMT COMP. B/S,H,,,0,,,,,,,,,,,,,,,,
,No. CHIP (SMALL) SMT COMP. B/S,I,,,7,,Estimate this quantity - formula will calculate for top side,,,,,,,,,,,,,,
,No. HAND PLACED PARTS (TOP),HPT,,,3,"SMA connectors J2, J3, J4",,,,,,,,,,,,,,,
,No. HAND PLACED PARTS (BOTTOM),HPB,,,0,,,,,,,,,,,,,,,,
x,No. CHIP SMT COMP. T/S,J,,,48,,,,,,,,,,,,,,,,
x,LOAD TIME PER PANEL,K,,,0.05,,,,,,,,,,,,,,,,
x,NUMBER OF CHIP SHOOTERS,M,,,1,,,,,,,,,,,,,,,,
x,NUMBER OF IC PLACERS,N,,,1,,,,,,,,,,,,,,,,
x,AVE TIME PER CHIP COMPONENT,CP,,,0.005,,,,,,,,,,,,,,,,
x,AVE TIME PER LARGE COMPONENT,IP,,,0.0417,,,,,,,,,,,,,,,,
x,HAND PLACEMENT TIME PER PART,0.5,,,0.5,,,,,,,,,,,,,,,,
x,No. OPERATORS,4,,,2,,,,,,,,,,,,,,,,
x,INDEX TIME IP T/S, K/L+(IP*G)/N,,,0.0542,,,,,,,,,,,,,,,,
x,INDEX TIME CP T/S, K/L+(CP*J)/M,,,0.2525,,,,,,,,,,,,,,,,
x,INDEX TIME IP B/S, K/L+(IP*H)/N,,,0,,,,,,,,,,,,,,,,
x,INDEX TIME CP B/S, K/L+(CP*I)/M,,,0.0475,,,,,,,,,,,,,,,,
x,INDEX TIME HAND PLACE T/S,HPT * 0.5,,,1.5,,"This line not used, as ""RUN PER PCB"" formula changed to add all hand placements above the tact time, not only if it's a bottle-neck.",,,,,,,,,,,,,,
x,INDEX TIME HAND PLACE B/S,HPB * 0.5,,,0,,"This line not used, as ""RUN PER PCB"" formula changed to add all hand placements above the tact time, not only if it's a bottle-neck.",,,,,,,,,,,,,,
x,SFDC SCANNING TIME,,,,0.33332,,,,,,,,,,,,,,,,
x,RUN INEFFICIENCY (Class 2),0.25,,,0.25,,,,,,,,,,,,,,,,
x,RUN INEFFICIENCY (Class 3),0.5,,,0.5,,,,,,,,,,,,,,,,
,RUN T/S PER PCB (x No. of Operator),No. OP* MAX OF T/S INDEX + Eff,,2.8395699999999997,2.8395699999999997,,,,,,,,,,,,,,,,
,RUN T/S PER PCB (Class 3),,,0,3.34082,,,,,,,,,,,,,,,,
,RUN B/S PER PCB (x No. of Operator),No. OP* MAX OF B/S INDEX + Eff,,0.45206999999999997,0.45206999999999997,,,,,,,,,,,,,,,,
,RUN B/S PER PCB (Class 3),,,0,0.47582,,,,,,,,,,,,,,,,
x,,,,,,,,,,,,,,,,,,,,,
